vdd_V,vref_V
2.465000,0.650267030
2.470000,0.650286459
2.475000,0.650305883
2.480000,0.650325304
2.485000,0.650344721
2.490000,0.650364133
2.495000,0.650383541
2.500000,0.650402945
2.505000,0.650422345
2.510000,0.650441741
2.515000,0.650461133
2.520000,0.650480521
2.525000,0.650499904
2.530000,0.650519284
2.535000,0.650538659
2.540000,0.650558031
2.545000,0.650577398
2.550000,0.650596761
2.555000,0.650616120
2.560000,0.650635476
2.565000,0.650654827
2.570000,0.650674174
2.575000,0.650693517
2.580000,0.650712857
2.585000,0.650732192
2.590000,0.650751523
2.595000,0.650770850
2.600000,0.650790174
2.605000,0.650809493
2.610000,0.650828809
2.615000,0.650848120
2.620000,0.650867428
2.625000,0.650886731
2.630000,0.650906031
2.635000,0.650925327
2.640000,0.650944619
2.645000,0.650963907
2.650000,0.650983191
2.655000,0.651002472
2.660000,0.651021748
2.665000,0.651041021
2.670000,0.651060289
2.675000,0.651079554
2.680000,0.651098815
2.685000,0.651118073
2.690000,0.651137326
2.695000,0.651156576
2.700000,0.651175822
2.705000,0.651195064
2.710000,0.651214302
2.715000,0.651233536
2.720000,0.651252767
2.725000,0.651271994
2.730000,0.651291218
2.735000,0.651310437
2.740000,0.651329653
2.745000,0.651348865
2.750000,0.651368073
2.755000,0.651387278
2.760000,0.651406479
2.765000,0.651425676
2.770000,0.651444870
2.775000,0.651464060
2.780000,0.651483246
2.785000,0.651502428
2.790000,0.651521607
2.795000,0.651540783
2.800000,0.651559954
2.805000,0.651579122
2.810000,0.651598287
2.815000,0.651617448
2.820000,0.651636605
2.825000,0.651655759
2.830000,0.651674909
2.835000,0.651694055
2.840000,0.651713198
2.845000,0.651732337
2.850000,0.651751473
2.855000,0.651770605
2.860000,0.651789734
2.865000,0.651808859
2.870000,0.651827981
2.875000,0.651847099
2.880000,0.651866214
2.885000,0.651885325
2.890000,0.651904433
2.895000,0.651923537
2.900000,0.651942638
2.905000,0.651961736
2.910000,0.651980830
2.915000,0.651999920
2.920000,0.652019007
2.925000,0.652038091
2.930000,0.652057171
2.935000,0.652076248
2.940000,0.652095321
2.945000,0.652114391
2.950000,0.652133458
2.955000,0.652152521
2.960000,0.652171581
2.965000,0.652190638
2.970000,0.652209691
2.975000,0.652228741
2.980000,0.652247788
2.985000,0.652266831
2.990000,0.652285871
2.995000,0.652304908
3.000000,0.652323941
